transaction_id,customer_id,amount,time,location,device,is_fraud
1,1,330,19,Mutare,ATM,0
2,1,3904,17,Masvingo,ATM,0
3,1,3033,17,Bulawayo,Web,0
4,1,881,19,Unknown,Mobile,0
5,1,3921,14,Gweru,Mobile,0
6,1,2004,6,Bulawayo,Mobile,0
7,1,3826,23,Unknown,ATM,1
8,1,2316,3,Bulawayo,ATM,0
9,2,2955,19,Bulawayo,Web,0
10,2,242,12,Harare,ATM,0
11,2,3402,7,Mutare,ATM,0
12,2,3847,14,Harare,Web,0
13,2,4983,6,Masvingo,ATM,0
14,2,2980,0,Harare,Web,0
15,2,56,6,Mutare,Mobile,0
16,2,4939,11,Bulawayo,ATM,0
17,2,4706,9,Mutare,Mobile,0
18,2,2453,1,Harare,Web,0
19,3,2987,2,Bulawayo,ATM,0
20,3,3961,13,Unknown,Mobile,1
21,3,771,11,Unknown,ATM,0
22,3,549,20,Gweru,Web,0
23,3,927,21,Masvingo,ATM,0
24,3,658,1,Masvingo,Mobile,0
25,3,4151,21,Harare,Mobile,0
26,3,394,20,Unknown,ATM,0
27,3,4047,16,Mutare,ATM,0
28,3,4686,6,Mutare,Mobile,0
29,4,3110,15,Masvingo,Web,0
30,4,3876,13,Unknown,ATM,1
31,4,1581,2,Masvingo,Mobile,0
32,4,3177,2,Mutare,ATM,0
33,4,900,11,Bulawayo,Web,0
34,4,2585,21,Bulawayo,Web,0
35,5,211,21,Harare,Mobile,0
36,5,4029,0,Unknown,ATM,1
37,5,3672,6,Masvingo,Web,0
38,5,1018,19,Mutare,ATM,0
39,5,461,1,Unknown,ATM,0
40,5,2770,9,Mutare,Mobile,0
41,5,2413,18,Gweru,Mobile,0
42,5,2111,14,Unknown,Mobile,1
43,5,3681,17,Masvingo,ATM,0
44,6,4967,6,Masvingo,Web,0
45,6,3327,7,Gweru,Web,0
46,6,4250,10,Harare,ATM,0
47,6,1320,8,Gweru,Mobile,0
48,6,1779,19,Masvingo,ATM,0
49,6,2440,2,Harare,Web,0
50,6,576,17,Bulawayo,Web,0
51,6,936,19,Masvingo,ATM,0
52,6,2149,14,Masvingo,ATM,0
53,7,1809,5,Bulawayo,Web,0
54,7,3863,7,Mutare,Mobile,0
